Transaction Identifier,Date of Discovery,"Discovery Method (Staff, Sales Agent, System Alert)",Compliance Reviewer,Transaction Description,Was the transaction completed?,Is the transaction suspicious?,Why was the transaction considered to be suspicious OR considered not to be suspicious?,FINTRAC Report Number,Date that the transaction was deemed to be suspicious,FINTRAC Reporting Date,Follow-up Activity,Customer #,CAD,tx date
46f0dc3118,"January 1, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 1, 2022",redacted,redacted,11326,11000,
1880850c86,"January 4, 2022",staff,redacted,under 10k,yes,no,"This transaction was made by a customer who frequently conducts small transactions, and is now spending significantly more. However the transaction is not reportabl since they are below 10k.",redacted,N/A,redacted,redacted,15429,9500,"January 4, 2022"
696ba14799,"January 4, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 4, 2022",redacted,redacted,1545,20000,"January 4, 2022"
5ea76bb688,"January 4, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 4, 2022",redacted,redacted,9652,21000,"January 4, 2022"
3e238c5d7e,"January 5, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 5, 2022",redacted,redacted,9652,10000,"January 5, 2022"
513e21ba0f,"January 5, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 5, 2022",redacted,redacted,6525,7000,"January 5, 2022"
97a503f25e,"January 5, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 5, 2022",redacted,redacted,6525,6500,"January 5, 2022"
212dfc23c5 ,"January 6, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 6, 2022",redacted,redacted,9652,11000,"January 6, 2022"
95ac13d741,"January 6, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 6, 2022",redacted,redacted,14514,12950,"January 6, 2022"
423b2433d2,"January 7, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 7, 2022",redacted,redacted,9652,11000,"January 7, 2022"
dee7f408d8,"January 8, 2022",System Alert,redacted,Large Cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 8, 2022",redacted,redacted,9652,11000,"January 8, 2022"
1dfab9d72f,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,5109,2000,2021-09-10
9cb8e75762,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,10481,38000,2021-10-08
afd588ae96,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1545,9700,2021-11-22
5431ffa16b,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1545,37000,2021-11-22
9edadeb59e,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,16003,5000,2021-11-19
a863a03093,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1648,2000,2021-12-13
d8d5f5baa9,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,12546,3000,2021-10-07
ca92678273,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1543,500,2021-11-30
300fc5eb66,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,7546,11300,2021-07-06
fed39fff95,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1598,700,2021-11-17
c6769e6bee,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1598,1350,2021-11-17
d48a0af92c,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1598,600,2021-11-17
c861fd19f7,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1598,750,2021-11-17
3f6b285059,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1543,1200,2021-09-15
bd9117d1d9,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538,1500,2021-10-13
fe205eb68a,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538,1500,2021-10-13
02589c9d2f,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538,1500,2021-10-13
3971fce645,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538,1500,2021-10-13
98c5aa7ec6,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538,1500,2021-10-13
27ce7ffb70,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1538,1500,2021-10-13
b547984cd7,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,731,755,2021-08-30
615745ee3f,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,7326,4000,2021-10-28
9271aad29e,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,13894,900,2021-09-27
212dfc23c5,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,9652,11000,2022-01-06
8591542c55,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,17384,1000,2021-12-29
166ba70bf9,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,1598,5000,2021-12-08
a05c4345a9,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,12789,1200,2021-09-18
f5d1f1307d,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,13085,9000,2021-10-16
6d8993498c,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,17239,1500,2021-12-24
638fca3e36,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,12789,2000,2021-10-19
3b32f505f5,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,822,19900,2021-07-19
5ffc48f403,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,822,6100,2021-07-19
9a6ce18518,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,16723,16000,2021-12-09
d51a6734f8,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,14415,800,2021-10-16
d8746460fd,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,14415,4500,2021-10-16
8f18718eff,2022-01-18,System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,2022-01-18,redacted,redacted,6849,10005,2021-07-27
3f7713dbe1,"January 11, 2022",System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,"January 11, 2022",redacted,redacted,16480,10000,"January 11, 2022"
f68d3f0531,"January 13, 2022",System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,"January 13, 2022",redacted,redacted,4512,11800,"January 13, 2022"
e857e4787f,"January 14, 2022",System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,"January 14, 2022",redacted,redacted,7478,20000,"January 14, 2022"
d0afef81ec,"January 14, 2022",System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,"January 14, 2022",redacted,redacted,11326,20000,"January 14, 2022"
7fc90a2bb9,"January 15, 2022",System Alert,redacted,Large Cash,yes,yes,"Customer purchased greater than $10,000.00 CAD in one calendar day.",redacted,"January 15, 2022",redacted,redacted,17660,10000,"January 15, 2022"
cbd84580fc,"January 21, 2022",System Alert,redacted,large cash ,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 21, 2022",redacted,redacted,9652,11100,"January 21, 2022"
6c5ea6a8c6,"January 22, 2022",System Alert,redacted,large cash ,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 22, 2022",redacted,redacted,9652,11000,"January 22, 2022"
f000cebe2e,"January 23, 2022",System Alert,redacted,large cash ,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 23, 2022",redacted,redacted,9652,10900,"January 23, 2022"
189d96d7a3,"January 24, 2022",System Alert,redacted,large cash ,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 24, 2022",redacted,redacted,9652,11000,"January 24, 2022"
096d08cf01,"January 25, 2022",System Alert,redacted,large cash ,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 25, 2022",redacted,redacted,9652,11000,"January 25, 2022"
acf2bcb964,"January 24, 2022",System Alert,redacted,Large cash,yes,yes,"The customer conducted multiple small transactions in order to structure them into a larger payment (over $10,000.00 CAD) for the same recipient. ",redacted,"January 24, 2022",redacted,redacted,18196,6500,
7d0a0beceb,"January 24, 2022",System Alert,redacted,large cash,yes,yes,"The customer conducted multiple small transactions in order to structure them into a larger payment (over $10,000.00 CAD) for the same recipient. ",redacted,"January 24, 2022",redacted,redacted,18196,6500,
e4f4a7baf3,"January 24, 2022",System Alert,redacted,large cash,yes,yes,"The customer conducted multiple small transactions in order to structure them into a larger payment (over $10,000.00 CAD) for the same recipient. ",redacted,"January 24, 2022",redacted,redacted,18196,6840,
096d08cf01,"January 25, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 25, 2022",redacted,redacted,9652,11000,
2766f49b16,"January 26, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 26, 2022",redacted,redacted,9652,11700,
dec6ade6af,"January 27, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 27, 2022",redacted,redacted,9652,11300,"January 27, 2022"
039d19abfb,"January 28, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 28, 2022",redacted,redacted,9652,11800,"January 28, 2022"
07584aab2e,"January 27, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 27, 2022",redacted,redacted,16025,20000,
0d4da48730,"January 28, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 28, 2022",redacted,redacted,16025,20000,
62d90688a1,"January 28, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 28, 2022",redacted,redacted,16025,10000,
039d19abfb,"January 28, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 28, 2022",redacted,redacted,9652,11800,"January 28, 2022"
4851355545,"January 29, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 29, 2022",redacted,redacted,9652,11900,"January 29, 2022"
cc9d7aeb60,"January 29, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"January 29, 2022",redacted,redacted,8382,10000,"January 29, 2022"
e4bc27778b,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,2647,140,"February 1, 2022"
7002053de8,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,2647,4900,"February 1, 2022"
958bd60049,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,2647,4900,"February 1, 2022"
9d3df5d869,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,2647,4900,"February 1, 2022"
f0c214108c,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,2647,300,"February 1, 2022"
1e19b5c7f8,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,16650,100,"February 1, 2022"
64737a7191,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,16650,4900,"February 1, 2022"
eefbadc51c,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,16650,5000,"February 1, 2022"
87063be359 ,"February 1, 2022",System Alert,redacted,large cash,yes,yes,"large amount. Customer purchased greater than $10,000.00 CAD in one transaction.",redacted,"February 1, 2022",redacted,redacted,16650,6400,"February 1, 2022"
